Cleaned_comment,Review_len,punct,tokens,lemmatized_review
kendaraan listrik sangat2 merusak alam,34,0.0,"['kendaraan', 'listrik', 'sangat2', 'merusak', 'alam']",kendaraan listrik sangat2 merusak alam
siap2 mobil listrik akan berakhir di madura,37,0.0,"['siap2', 'mobil', 'listrik', 'akan', 'berakhir', 'di', 'madura']",siap2 mobil listrik akan berakhir di madura
1 58 se ngos ngosan itukah bapak yang pegang kamera kedengeran banget pas pake headset,72,0.0,"['1', '58', 'se', 'ngos', 'ngosan', 'itukah', 'bapak', 'yang', 'pegang', 'kamera', 'kedengeran', 'banget', 'pas', 'pake', 'headset']",1 58 se ngo ngosan itukah bapak yang pegang kamera kedengeran banget pa pake headset
merk t udh byk iklan coba deh meraba kekurangan mgkn hrg trklu tnggi selain itu cb dlht lg kl nerima karyawan jgn hny fanatik ke satu suku saja suku lainnya dianggap tidak bgs dzalim tau namanya t untuk abangnya sukses selalu channel nya,195,0.0,"['merk', 't', 'udh', 'byk', 'iklan', 'coba', 'deh', 'meraba', 'kekurangan', 'mgkn', 'hrg', 'trklu', 'tnggi', 'selain', 'itu', 'cb', 'dlht', 'lg', 'kl', 'nerima', 'karyawan', 'jgn', 'hny', 'fanatik', 'ke', 'satu', 'suku', 'saja', 'suku', 'lainnya', 'dianggap', 'tidak', 'bgs', 'dzalim', 'tau', 'namanya', 't', 'untuk', 'abangnya', 'sukses', 'selalu', 'channel', 'nya']",merk udh byk iklan coba deh meraba kekurangan mgkn hrg trklu tnggi selain itu cb dlht lg kl nerima karyawan jgn hny fanatik ke satu suku saja suku lainnya dianggap tidak bgs dzalim tau namanya untuk abangnya sukses selalu channel nya
kmrn lihat m6 denza chery waduhh kok mevvvaaahh sekalii lihatnya,55,0.0,"['kmrn', 'lihat', 'm6', 'denza', 'chery', 'waduhh', 'kok', 'mevvvaaahh', 'sekalii', 'lihatnya']",kmrn lihat m6 denza chery waduhh kok mevvvaaahh sekalii lihatnya
semoga BYD bneran bagus,20,0.0,"['semoga', 'BYD', 'bneran', 'bagus']",semoga BYD bneran bagus
kelemahan nya ya kalo batere modar kudu siap duit besar buat gantiin nya atau jadi rongsokan mobil mesin punya duit 100rb bisa isi bensin jalan ev batere rusak auto mangkrak kalo tidak siap duit buat gantiin,172,0.0,"['kelemahan', 'nya', 'ya', 'kalo', 'batere', 'modar', 'kudu', 'siap', 'duit', 'besar', 'buat', 'gantiin', 'nya', 'atau', 'jadi', 'rongsokan', 'mobil', 'mesin', 'punya', 'duit', '100rb', 'bisa', 'isi', 'bensin', 'jalan', 'ev', 'batere', 'rusak', 'auto', 'mangkrak', 'kalo', 'tidak', 'siap', 'duit', 'buat', 'gantiin']",kelemahan nya ya kalo batere modar kudu siap duit besar buat gantiin nya atau jadi rongsokan mobil mesin punya duit 100rb bisa isi bensin jalan ev batere rusak auto mangkrak kalo tidak siap duit buat gantiin
murah amat tuker sama hp vivo seken bisa gak nih,39,0.0,"['murah', 'amat', 'tuker', 'sama', 'hp', 'vivo', 'seken', 'bisa', 'gak', 'nih']",murah amat tuker sama hp vivo seken bisa gak nih
mau beli tkt harg jual anjlog,24,0.0,"['mau', 'beli', 'tkt', 'harg', 'jual', 'anjlog']",mau beli tkt harg jual anjlog
kalau Toyota Honda Suzuki mau survive ya keluarkan full ev car lah harga sama tidak usah ribet,78,0.0,"['kalau', 'Toyota', 'Honda', 'Suzuki', 'mau', 'survive', 'ya', 'keluarkan', 'full', 'ev', 'car', 'lah', 'harga', 'sama', 'tidak', 'usah', 'ribet']",kalau Toyota Honda Suzuki mau survive ya keluarkan full ev car lah harga sama tidak usah ribet
idaman supir grab ini,18,0.0,"['idaman', 'supir', 'grab', 'ini']",idaman supir grab ini
lucu mabok om gendut pagi mobil biru,30,0.0,"['lucu', 'mabok', 'om', 'gendut', 'pagi', 'mobil', 'biru']",lucu mabok om gendut pagi mobil biru
kalau bikin model jeep mirip2 jimny sepertinya ok juga ni apa lagi kalau harga nya di bawah lcgc,79,0.0,"['kalau', 'bikin', 'model', 'jeep', 'mirip2', 'jimny', 'sepertinya', 'ok', 'juga', 'ni', 'apa', 'lagi', 'kalau', 'harga', 'nya', 'di', 'bawah', 'lcgc']",kalau bikin model jeep mirip2 jimny sepertinya ok juga ni apa lagi kalau harga nya di bawah lcgc
BYD keren bener murah lagi pabrikan jepang ketar ketir,46,0.0,"['BYD', 'keren', 'bener', 'murah', 'lagi', 'pabrikan', 'jepang', 'ketar', 'ketir']",BYD keren bener murah lagi pabrikan jepang ketar ketir
5 48 gak minum apa2 kok macbook,25,0.0,"['5', '48', 'gak', 'minum', 'apa2', 'kok', 'macbook']",5 48 gak minum apa2 kok macbook
pada bilang spam iklan saya tidak relate soalnya youtube premium wuahahaha,64,0.0,"['pada', 'bilang', 'spam', 'iklan', 'saya', 'tidak', 'relate', 'soalnya', 'youtube', 'premium', 'wuahahaha']",pada bilang spam iklan saya tidak relate soalnya youtube premium wuahahaha
Toyota iklan terus bukan nurunin harga upgrade salah startegi krn tetep kemahalan,70,0.0,"['Toyota', 'iklan', 'terus', 'bukan', 'nurunin', 'harga', 'upgrade', 'salah', 'startegi', 'krn', 'tetep', 'kemahalan']",Toyota iklan terus bukan nurunin harga upgrade salah startegi krn tetep kemahalan
lemah harganya apalagi bekasnya,28,0.0,"['lemah', 'harganya', 'apalagi', 'bekasnya']",lemah harganya apalagi bekasnya
suspensi parah ngayunnya kurang firm akselerasi lemot tidak natural harus sport mode baru mendingan interior cheap build plastic feeling bagasi super kecil cmn bs 2 small size baggage utk harian bolak balik ke pasar sama mobil pertama buat anak yah masi ok lah mendingan mikir 2x buat beli ini,245,0.0,"['suspensi', 'parah', 'ngayunnya', 'kurang', 'firm', 'akselerasi', 'lemot', 'tidak', 'natural', 'harus', 'sport', 'mode', 'baru', 'mendingan', 'interior', 'cheap', 'build', 'plastic', 'feeling', 'bagasi', 'super', 'kecil', 'cmn', 'bs', '2', 'small', 'size', 'baggage', 'utk', 'harian', 'bolak', 'balik', 'ke', 'pasar', 'sama', 'mobil', 'pertama', 'buat', 'anak', 'yah', 'masi', 'ok', 'lah', 'mendingan', 'mikir', '2x', 'buat', 'beli', 'ini']",suspensi parah ngayunnya kurang firm akselerasi lemot tidak natural harus sport mode baru mendingan interior cheap build plastic feeling bagasi super kecil cmn b 2 small size baggage utk harian bolak balik ke pasar sama mobil pertama buat anak yah masi ok lah mendingan mikir 2x buat beli ini
rasakan mobil jepunn classs 100 200jtann overpriceee sdhi monopoli awas ky nokia blackberry,79,0.0,"['rasakan', 'mobil', 'jepunn', 'classs', '100', '200jtann', 'overpriceee', 'sdhi', 'monopoli', 'awas', 'ky', 'nokia', 'blackberry']",rasakan mobil jepunn class 100 200jtann overpriceee sdhi monopoli awas ky nokia blackberry
listrik goblog,13,0.0,"['listrik', 'goblog']",listrik goblog
good job BYD bagus strateginya kereen dari awal memang sudah diprediksi akan ada mobil BYD yang harganya relatif murah ternyata keluar atto 1 ini tadi saya cek ke dealer BYD ternyata ukuran aslinya tidak sekecil yang dibayangkan ini lebih besar dari mobil lcgc dan tentunya ini mobil listrik yuuuk brand lain juga ditunggu inovasi strategi dan penurunan harganya hehe game changernya udah hadir nih BYD atto 1,343,0.0,"['good', 'job', 'BYD', 'bagus', 'strateginya', 'kereen', 'dari', 'awal', 'memang', 'sudah', 'diprediksi', 'akan', 'ada', 'mobil', 'BYD', 'yang', 'harganya', 'relatif', 'murah', 'ternyata', 'keluar', 'atto', '1', 'ini', 'tadi', 'saya', 'cek', 'ke', 'dealer', 'BYD', 'ternyata', 'ukuran', 'aslinya', 'tidak', 'sekecil', 'yang', 'dibayangkan', 'ini', 'lebih', 'besar', 'dari', 'mobil', 'lcgc', 'dan', 'tentunya', 'ini', 'mobil', 'listrik', 'yuuuk', 'brand', 'lain', 'juga', 'ditunggu', 'inovasi', 'strategi', 'dan', 'penurunan', 'harganya', 'hehe', 'game', 'changernya', 'udah', 'hadir', 'nih', 'BYD', 'atto', '1']",good job BYD bagus strateginya kereen dari awal memang sudah diprediksi akan ada mobil BYD yang harganya relatif murah ternyata keluar atto 1 ini tadi saya cek ke dealer BYD ternyata ukuran aslinya tidak sekecil yang dibayangkan ini lebih besar dari mobil lcgc dan tentunya ini mobil listrik yuuuk brand lain juga ditunggu inovasi strategi dan penurunan harganya hehe game changernya udah hadir nih BYD atto 1
engap banget ngeliat bagian dalem jadinya,36,0.0,"['engap', 'banget', 'ngeliat', 'bagian', 'dalem', 'jadinya']",engap banget ngeliat bagian dalem jadinya
,0,0.0,[],
kasihan om gendut selalu kena bully,30,0.0,"['kasihan', 'om', 'gendut', 'selalu', 'kena', 'bully']",kasihan om gendut selalu kena bully
jam 10 pagi terlalu pagi ya om,24,0.0,"['jam', '10', 'pagi', 'terlalu', 'pagi', 'ya', 'om']",jam 10 pagi terlalu pagi ya om
jgn dicopot topengnye gantengan gitu,32,0.0,"['jgn', 'dicopot', 'topengnye', 'gantengan', 'gitu']",jgn dicopot topengnye gantengan gitu
nunggu pabrik BYD jadi di karawang pasti harganya mangkin gila2 an,56,0.0,"['nunggu', 'pabrik', 'BYD', 'jadi', 'di', 'karawang', 'pasti', 'harganya', 'mangkin', 'gila2', 'an']",nunggu pabrik BYD jadi di karawang pasti harganya mangkin gila2
mulai,5,0.0,['mulai'],mulai
ketar ketir lah para mafia japan yang jual mobil overprice itu,52,0.0,"['ketar', 'ketir', 'lah', 'para', 'mafia', 'japan', 'yang', 'jual', 'mobil', 'overprice', 'itu']",ketar ketir lah para mafia japan yang jual mobil overprice itu
tenaga listrik umurnya tidk panjang,31,0.0,"['tenaga', 'listrik', 'umurnya', 'tidk', 'panjang']",tenaga listrik umurnya tidk panjang
kenapa ya di gue gak ada iklan Toyota,30,0.0,"['kenapa', 'ya', 'di', 'gue', 'gak', 'ada', 'iklan', 'Toyota']",kenapa ya di gue gak ada iklan Toyota
ngliat om gendut engap banget kayaknya sehat sehat om gendut,51,0.0,"['ngliat', 'om', 'gendut', 'engap', 'banget', 'kayaknya', 'sehat', 'sehat', 'om', 'gendut']",ngliat om gendut engap banget kayaknya sehat sehat om gendut
saatnya banyak pilihan harga mobil mulai berbenah semakin murah,55,0.0,"['saatnya', 'banyak', 'pilihan', 'harga', 'mobil', 'mulai', 'berbenah', 'semakin', 'murah']",saatnya banyak pilihan harga mobil mulai berbenah semakin murah
jelasin jg mengenai harga battreynya om kita tau ada garansi battrey tapi jika apes terjadi masalah pada battrey kita punya budget untk menggantinya,126,0.0,"['jelasin', 'jg', 'mengenai', 'harga', 'battreynya', 'om', 'kita', 'tau', 'ada', 'garansi', 'battrey', 'tapi', 'jika', 'apes', 'terjadi', 'masalah', 'pada', 'battrey', 'kita', 'punya', 'budget', 'untk', 'menggantinya']",jelasin jg mengenai harga battreynya om kita tau ada garansi battrey tapi jika ape terjadi masalah pada battrey kita punya budget untk menggantinya
lampu depannya mirip lamborghini,29,0.0,"['lampu', 'depannya', 'mirip', 'lamborghini']",lampu depannya mirip lamborghini
awas om jangan pakai topeng bajak laut ntar jadi buronan pemerintah,57,0.0,"['awas', 'om', 'jangan', 'pakai', 'topeng', 'bajak', 'laut', 'ntar', 'jadi', 'buronan', 'pemerintah']",awas om jangan pakai topeng bajak laut ntar jadi buronan pemerintah
kelemahannya wiper nya cungkring,29,0.0,"['kelemahannya', 'wiper', 'nya', 'cungkring']",kelemahannya wiper nya cungkring
kalo drmh gada buat charger batre hrus ngecas dmna yah kalau jakarta selatan,64,0.0,"['kalo', 'drmh', 'gada', 'buat', 'charger', 'batre', 'hrus', 'ngecas', 'dmna', 'yah', 'kalau', 'jakarta', 'selatan']",kalo drmh gada buat charger batre hrus ngecas dmna yah kalau jakarta selatan
BYD tahun ini 5 5 juta unit padahal pabrik baru 20 tahun,45,0.0,"['BYD', 'tahun', 'ini', '5', '5', 'juta', 'unit', 'padahal', 'pabrik', 'baru', '20', 'tahun']",BYD tahun ini 5 5 juta unit padahal pabrik baru 20 tahun
kasihan Toyota global terkunci di 8 5 juta unit kurang lebih pertahun,58,0.0,"['kasihan', 'Toyota', 'global', 'terkunci', 'di', '8', '5', 'juta', 'unit', 'kurang', 'lebih', 'pertahun']",kasihan Toyota global terkunci di 8 5 juta unit kurang lebih pertahun
200jt electric seat auto headlamp tilt telescopic steering cruise control edan,68,0.0,"['200jt', 'electric', 'seat', 'auto', 'headlamp', 'tilt', 'telescopic', 'steering', 'cruise', 'control', 'edan']",200jt electric seat auto headlamp tilt telescopic steering cruise control edan
jadi b chanel lama lama,19,0.0,"['jadi', 'b', 'chanel', 'lama', 'lama']",jadi b chanel lama lama
ini enaknya buat dalam kota kenyaa tpi klw di luar kota bnyak tanjakan ni mobil bisa bertenaga gaknyaa,85,0.0,"['ini', 'enaknya', 'buat', 'dalam', 'kota', 'kenyaa', 'tpi', 'klw', 'di', 'luar', 'kota', 'bnyak', 'tanjakan', 'ni', 'mobil', 'bisa', 'bertenaga', 'gaknyaa']",ini enaknya buat dalam kota kenyaa tpi klw di luar kota bnyak tanjakan ni mobil bisa bertenaga gaknyaa
berarti emang benar ya metrotppoker gampang menang,44,0.0,"['berarti', 'emang', 'benar', 'ya', 'metrotppoker', 'gampang', 'menang']",berarti emang benar ya metrotppoker gampang menang
yang merk jetour dasboardnya lebih bagus om,37,0.0,"['yang', 'merk', 'jetour', 'dasboardnya', 'lebih', 'bagus', 'om']",yang merk jetour dasboardnya lebih bagus om
beli ah 1 mah yang warna merah kalau ad mah,34,0.0,"['beli', 'ah', '1', 'mah', 'yang', 'warna', 'merah', 'kalau', 'ad', 'mah']",beli ah 1 mah yang warna merah kalau ad mah
iklan asuransi mobil,18,0.0,"['iklan', 'asuransi', 'mobil']",iklan asuransi mobil
waduh ini masalah kalau beliin buat ortu mana bisa liat ke layar gitu dah kebiasaan manual semuanya buat anak muda ok lah pasti senang yang gituh,120,0.0,"['waduh', 'ini', 'masalah', 'kalau', 'beliin', 'buat', 'ortu', 'mana', 'bisa', 'liat', 'ke', 'layar', 'gitu', 'dah', 'kebiasaan', 'manual', 'semuanya', 'buat', 'anak', 'muda', 'ok', 'lah', 'pasti', 'senang', 'yang', 'gituh']",waduh ini masalah kalau beliin buat ortu mana bisa liat ke layar gitu dah kebiasaan manual semuanya buat anak muda ok lah pasti senang yang gituh
oh iya lupa youtube premium,23,0.0,"['oh', 'iya', 'lupa', 'youtube', 'premium']",oh iya lupa youtube premium
bisa di spklu kak dan walaupun tidak ada wall charger nanti dapet portable charger yang bisa langsung di colok ke stop kontak biasa,109,0.0,"['bisa', 'di', 'spklu', 'kak', 'dan', 'walaupun', 'tidak', 'ada', 'wall', 'charger', 'nanti', 'dapet', 'portable', 'charger', 'yang', 'bisa', 'langsung', 'di', 'colok', 'ke', 'stop', 'kontak', 'biasa']",bisa di spklu kak dan walaupun tidak ada wall charger nanti dapet portable charger yang bisa langsung di colok ke stop kontak biasa
8 52 pengalaman ya om nego jual yang lain wkt test drive,45,0.0,"['8', '52', 'pengalaman', 'ya', 'om', 'nego', 'jual', 'yang', 'lain', 'wkt', 'test', 'drive']",8 52 pengalaman ya om nego jual yang lain wkt test drive
pembawa acara seperti tidak percaya diri ngomong pake topeng topengan topeng nya tengkorak saya lihat pembawa acara ini berpikir duku apalah dia menyajikan informasi sesama tengkorak atau sesama manusia dan sangat tidak tau mimik dan senyumanan orang apa benda ronot tidak simpati pengajiaannya,252,0.0,"['pembawa', 'acara', 'seperti', 'tidak', 'percaya', 'diri', 'ngomong', 'pake', 'topeng', 'topengan', 'topeng', 'nya', 'tengkorak', 'saya', 'lihat', 'pembawa', 'acara', 'ini', 'berpikir', 'duku', 'apalah', 'dia', 'menyajikan', 'informasi', 'sesama', 'tengkorak', 'atau', 'sesama', 'manusia', 'dan', 'sangat', 'tidak', 'tau', 'mimik', 'dan', 'senyumanan', 'orang', 'apa', 'benda', 'ronot', 'tidak', 'simpati', 'pengajiaannya']",pembawa acara seperti tidak percaya diri ngomong pake topeng topengan topeng nya tengkorak saya lihat pembawa acara ini berpikir duku apalah dia menyajikan informasi sesama tengkorak atau sesama manusia dan sangat tidak tau mimik dan senyumanan orang apa benda ronot tidak simpati pengajiaannya
jangka panjang itu kelemahannya om kecuali di 88,41,0.0,"['jangka', 'panjang', 'itu', 'kelemahannya', 'om', 'kecuali', 'di', '88']",jangka panjang itu kelemahannya om kecuali di 88
bisa murah karena pajak rendah,26,0.0,"['bisa', 'murah', 'karena', 'pajak', 'rendah']",bisa murah karena pajak rendah
thx BYD sudah membuat pabrikan pelit overprice kalang kabut,51,0.0,"['thx', 'BYD', 'sudah', 'membuat', 'pabrikan', 'pelit', 'overprice', 'kalang', 'kabut']",thx BYD sudah membuat pabrikan pelit overprice kalang kabut
beli tahun depan saja siapa tau 100 juta,33,0.0,"['beli', 'tahun', 'depan', 'saja', 'siapa', 'tau', '100', 'juta']",beli tahun depan saja siapa tau 100 juta
yang mau liat komparasi atto1 vs bingo coba googling dg keyword t03 nanti klik link yang dari situs yiche dg judul vidio t03 dalam komparasi fitur yang lebih unggul nantinya tulisannya di highlight warna oranye,176,0.0,"['yang', 'mau', 'liat', 'komparasi', 'atto1', 'vs', 'bingo', 'coba', 'googling', 'dg', 'keyword', 't03', 'nanti', 'klik', 'link', 'yang', 'dari', 'situs', 'yiche', 'dg', 'judul', 'vidio', 't03', 'dalam', 'komparasi', 'fitur', 'yang', 'lebih', 'unggul', 'nantinya', 'tulisannya', 'di', 'highlight', 'warna', 'oranye']",yang mau liat komparasi atto1 v bingo coba googling dg keyword t03 nanti klik link yang dari situs yiche dg judul vidio t03 dalam komparasi fitur yang lebih unggul nantinya tulisannya di highlight warna oranye
saja tidak tuh,12,0.0,"['saja', 'tidak', 'tuh']",saja tidak tuh
fix beli tahun depan uggu batch2 berikutnya pas udah tidak banyak minus2nya,64,0.0,"['fix', 'beli', 'tahun', 'depan', 'uggu', 'batch2', 'berikutnya', 'pas', 'udah', 'tidak', 'banyak', 'minus2nya']",fix beli tahun depan uggu batch2 berikutnya pa udah tidak banyak minus2nya
harga baterai berapa kalu mau ganti,30,0.0,"['harga', 'baterai', 'berapa', 'kalu', 'mau', 'ganti']",harga baterai berapa kalu mau ganti
bagusnya brio rs harga di bawah 150 jt Honda coba lihat ini fitur dan dalam cabin mewah jadi lihat brio kaya harga 100 jtan,100,0.0,"['bagusnya', 'brio', 'rs', 'harga', 'di', 'bawah', '150', 'jt', 'Honda', 'coba', 'lihat', 'ini', 'fitur', 'dan', 'dalam', 'cabin', 'mewah', 'jadi', 'lihat', 'brio', 'kaya', 'harga', '100', 'jtan']",bagusnya brio r harga di bawah 150 jt Honda coba lihat ini fitur dan dalam cabin mewah jadi lihat brio kaya harga 100 jtan
om pit itu di gas dalam dong biar ketahuan betotannya,44,0.0,"['om', 'pit', 'itu', 'di', 'gas', 'dalam', 'dong', 'biar', 'ketahuan', 'betotannya']",om pit itu di gas dalam dong biar ketahuan betotannya
cek kolong mobilnya om kynya ada yang info kopong gitu mastiin saja,56,0.0,"['cek', 'kolong', 'mobilnya', 'om', 'kynya', 'ada', 'yang', 'info', 'kopong', 'gitu', 'mastiin', 'saja']",cek kolong mobilnya om kynya ada yang info kopong gitu mastiin saja
ditiap chanel otomitive Toyota spam iklan panik kao bank haa,51,0.0,"['ditiap', 'chanel', 'otomitive', 'Toyota', 'spam', 'iklan', 'panik', 'kao', 'bank', 'haa']",ditiap chanel otomitive Toyota spam iklan panik kao bank haa
